show_id,country_id
1,1
8,1
10,1
16,1
28,1
29,1
30,1
39,1
41,1
42,1
43,1
44,1
45,1
47,1
49,1
56,1
68,1
82,1
83,1
91,1
95,1
96,1
97,1
98,1
100,1
102,1
107,1
108,1
112,1
118,1
123,1
126,1
128,1
130,1
132,1
134,1
135,1
136,1
137,1
138,1
139,1
140,1
142,1
143,1
144,1
145,1
146,1
147,1
150,1
151,1
153,1
156,1
157,1
159,1
161,1
162,1
163,1
164,1
165,1
167,1
168,1
169,1
170,1
171,1
172,1
173,1
174,1
175,1
176,1
177,1
178,1
179,1
180,1
183,1
184,1
185,1
192,1
221,1
228,1
229,1
230,1
232,1
233,1
242,1
248,1
252,1
255,1
264,1
265,1
268,1
272,1
273,1
275,1
280,1
281,1
285,1
287,1
291,1
296,1
297,1
301,1
308,1
309,1
311,1
313,1
315,1
316,1
318,1
324,1
326,1
327,1
328,1
329,1
330,1
331,1
333,1
334,1
335,1
336,1
338,1
341,1
342,1
343,1
344,1
345,1
346,1
347,1
348,1
349,1
350,1
351,1
352,1
353,1
354,1
355,1
356,1
357,1
358,1
359,1
360,1
361,1
362,1
371,1
379,1
381,1
383,1
387,1
390,1
391,1
392,1
393,1
404,1
426,1
434,1
438,1
441,1
443,1
446,1
447,1
448,1
449,1
450,1
451,1
452,1
460,1
461,1
463,1
470,1
473,1
474,1
475,1
478,1
487,1
489,1
490,1
492,1
493,1
494,1
495,1
497,1
500,1
510,1
512,1
514,1
521,1
526,1
527,1
528,1
531,1
533,1
548,1
549,1
558,1
559,1
560,1
562,1
563,1
564,1
565,1
567,1
568,1
569,1
574,1
575,1
576,1
577,1
579,1
580,1
582,1
583,1
584,1
585,1
586,1
589,1
592,1
593,1
594,1
595,1
596,1
597,1
598,1
599,1
600,1
601,1
602,1
603,1
604,1
605,1
606,1
607,1
608,1
609,1
610,1
611,1
612,1
613,1
615,1
616,1
619,1
621,1
623,1
629,1
631,1
637,1
639,1
644,1
649,1
658,1
661,1
663,1
668,1
669,1
675,1
677,1
678,1
679,1
681,1
686,1
697,1
703,1
709,1
714,1
717,1
719,1
720,1
722,1
723,1
724,1
725,1
727,1
728,1
729,1
735,1
737,1
740,1
741,1
744,1
747,1
749,1
750,1
753,1
755,1
758,1
764,1
775,1
776,1
777,1
778,1
780,1
783,1
785,1
786,1
787,1
788,1
789,1
791,1
792,1
793,1
794,1
796,1
797,1
798,1
799,1
800,1
801,1
802,1
803,1
805,1
809,1
810,1
811,1
813,1
814,1
815,1
817,1
818,1
819,1
820,1
823,1
824,1
825,1
826,1
827,1
829,1
831,1
835,1
847,1
849,1
854,1
856,1
863,1
864,1
866,1
867,1
868,1
869,1
871,1
873,1
880,1
881,1
884,1
890,1
891,1
896,1
897,1
901,1
902,1
905,1
908,1
909,1
911,1
915,1
917,1
918,1
920,1
921,1
